time,Coincident Index
Jul-12,93.5
Aug-12,93.5
Sep-12,92.1
Oct-12,92
Nov-12,91.8
Dec-12,92.7
Jan-13,93.1
Feb-13,93.9
Mar-13,95.4
Apr-13,96
May-13,97.4
Jun-13,96.8
Jul-13,98
Aug-13,98.9
Sep-13,99.5
Oct-13,100.2
Nov-13,101.3
Dec-13,101
Jan-14,102.6
Feb-14,102.2
Mar-14,103.7
Apr-14,100.1
May-14,100.6
Jun-14,99.4
Jul-14,100
Aug-14,99.2
Sep-14,100.6
Oct-14,100.5
Nov-14,99.7
Dec-14,100.1
Jan-15,101.7
Feb-15,100
Mar-15,99.6
Apr-15,100.5
May-15,99.6
Jun-15,100.5
Jul-15,100.5
Aug-15,99.5
Sep-15,100
Oct-15,100.2
Nov-15,99.4
Dec-15,98.6
Jan-16,99.5
Feb-16,99
Mar-16,99
Apr-16,98.9
May-16,98.4
Jun-16,98.9
Jul-16,99.3
Aug-16,99.6
Sep-16,100.1
Oct-16,100.6
Nov-16,102.1
Dec-16,102.1
Jan-17,101.5
Feb-17,102.3
Mar-17,102.5
Apr-17,103.4
May-17,103
Jun-17,103.9
Jul-17,103.1
Aug-17,104.5
Sep-17,103.7
Oct-17,103.8
Nov-17,105.1
Dec-17,106.3
Jan-18,104.8
Feb-18,104.5
Mar-18,104.9
Apr-18,105.7
May-18,105.1
Jun-18,105
Jul-18,104.4
Aug-18,104.7
Sep-18,103.1
Oct-18,105.2
Nov-18,103.5
Dec-18,102.3
Jan-19,101.4
Feb-19,102.6
Mar-19,102.7
Apr-19,102.4
May-19,101.8
Jun-19,100.1
Jul-19,100.6
Aug-19,99.3
Sep-19,100.6
Oct-19,96.8
Nov-19,96
Dec-19,95.7
Jan-20,95.5
Feb-20,94.6
Mar-20,91.3
Apr-20,80.6
May-20,73.5
Jun-20,77.6
Jul-20,80.7
Aug-20,82.1
Sep-20,84.7
Oct-20,88.5
Nov-20,88.6
Dec-20,89.1
Jan-21,91.4
Feb-21,90
Mar-21,93
Apr-21,95
May-21,92.4
Jun-21,94.4
Jul-21,94
Aug-21,91
Sep-21,88.7
Oct-21,89.8
Nov-21,93.6
